pop	clust1	clust2	clust3	clust4
fall	0.4441	0.0441	0.1079	0.4040
fall	0.2523	0.3859	0.0918	0.2700
fall	0.5647	0.0412	0.0414	0.3527
fall	0.1971	0.0398	0.2170	0.5461
fall	0.1435	0.4696	0.0810	0.3060
fall	0.3023	0.0789	0.0668	0.5521
fall	0.3858	0.0582	0.2029	0.3532
half	0.1604	0.0590	0.6313	0.1494
half	0.2410	0.0980	0.0985	0.5625
half	0.2490	0.0881	0.0380	0.6249
half	0.1317	0.6620	0.0943	0.1120
half	0.0998	0.7456	0.0866	0.0680
half	0.0624	0.8417	0.0380	0.0579
half	0.1510	0.2384	0.2346	0.3760
half	0.1939	0.0358	0.5444	0.2259
half	0.0426	0.8809	0.0315	0.0450
half	0.4787	0.0518	0.0684	0.4012
half	0.0594	0.8677	0.0251	0.0478
half	0.3248	0.0741	0.0723	0.5289
half	0.1584	0.1739	0.5196	0.1481
half	0.4463	0.0249	0.3326	0.1962
half	0.2478	0.4380	0.1172	0.1970
half	0.1387	0.3705	0.3198	0.1710
half	0.2132	0.5111	0.1593	0.1163
half	0.0761	0.6909	0.1137	0.1192
half	0.1822	0.0394	0.0402	0.7382
half	0.5915	0.0701	0.0645	0.2739
half	0.2145	0.2314	0.1096	0.4445
half	0.6288	0.0503	0.0798	0.2412
half	0.6238	0.0664	0.0554	0.2545
half	0.1594	0.7307	0.0430	0.0669
half	0.1897	0.4793	0.1180	0.2130
half	0.1502	0.2379	0.2281	0.3838
half	0.2423	0.1183	0.0824	0.5570
half	0.1949	0.0546	0.1042	0.6463
half	0.2092	0.0569	0.5024	0.2315
half	0.0503	0.6815	0.2182	0.0500
half	0.2706	0.0279	0.4591	0.2424
half	0.5056	0.1232	0.1407	0.2305
half	0.1636	0.0768	0.4953	0.2643
half	0.3017	0.0261	0.0885	0.5837
half	0.2682	0.2420	0.1056	0.3841
half	0.1861	0.2864	0.2710	0.2565
half	0.7253	0.0290	0.0795	0.1662
half	0.3683	0.0561	0.0539	0.5217
half	0.2661	0.0552	0.4585	0.2202
half	0.0735	0.7959	0.0459	0.0846
half	0.2921	0.4129	0.0933	0.2018
half	0.1239	0.1047	0.4157	0.3557
half	0.2659	0.0832	0.1290	0.5219
half	0.3128	0.0585	0.2157	0.4131
half	0.4778	0.1344	0.1753	0.2125
half	0.1269	0.1275	0.5936	0.1520
half	0.1082	0.0296	0.7885	0.0736
half	0.3299	0.1361	0.0735	0.4605
half	0.0454	0.8832	0.0297	0.0417
half	0.1104	0.2492	0.5071	0.1332
half	0.4569	0.1101	0.2323	0.2007
half	0.3774	0.1583	0.2092	0.2551
half	0.1522	0.2081	0.2861	0.3535
half	0.4946	0.0723	0.1806	0.2525
half	0.4193	0.0571	0.2086	0.3149
half	0.1320	0.4874	0.1012	0.2793
half	0.5527	0.2409	0.0423	0.1641
half	0.2700	0.0657	0.0424	0.6219
half	0.3762	0.3848	0.0511	0.1879
half	0.1993	0.3397	0.3423	0.1186
half	0.1955	0.0879	0.4621	0.2545
half	0.3470	0.1781	0.0820	0.3929
half	0.4950	0.0969	0.1177	0.2904
half	0.0420	0.8537	0.0609	0.0434
half	0.2634	0.0501	0.2981	0.3884
half	0.0549	0.0940	0.7576	0.0935
half	0.1011	0.7588	0.0390	0.1010
half	0.0948	0.2580	0.4934	0.1539
half	0.1145	0.5596	0.2390	0.0870
half	0.3638	0.0819	0.1774	0.3769
half	0.1593	0.2507	0.2029	0.3871
half	0.1264	0.3772	0.3016	0.1948
half	0.3627	0.0770	0.1271	0.4332
half	0.0740	0.0875	0.7230	0.1155
half	0.0680	0.2629	0.4979	0.1712
half	0.2246	0.1900	0.2876	0.2978
half	0.3977	0.1736	0.0614	0.3673
half	0.5024	0.0520	0.1249	0.3207
half	0.4104	0.0574	0.0613	0.4710
half	0.3913	0.1602	0.3318	0.1167
half	0.3223	0.1533	0.3608	0.1636
half	0.2085	0.0544	0.3328	0.4043
half	0.3401	0.0416	0.0931	0.5252
half	0.1649	0.0569	0.1207	0.6575
half	0.7216	0.0304	0.0595	0.1885
half	0.2646	0.0575	0.0501	0.6278
half	0.5686	0.0370	0.0704	0.3240
half	0.0999	0.0281	0.2205	0.6515
half	0.3357	0.1007	0.0887	0.4749
half	0.2273	0.0725	0.4195	0.2807
half	0.0507	0.0529	0.7810	0.1154
half	0.1876	0.0403	0.4171	0.3550
half	0.1573	0.0459	0.0446	0.7522
half	0.5381	0.0770	0.0942	0.2907
half	0.1974	0.0824	0.1812	0.5391
half	0.1905	0.0752	0.1367	0.5976
half	0.1449	0.2830	0.2698	0.3023
half	0.1954	0.3269	0.0871	0.3906
half	0.2908	0.0500	0.2274	0.4318
half	0.2535	0.6210	0.0314	0.0941
half	0.2172	0.0284	0.0574	0.6970
half	0.3304	0.2311	0.0384	0.4001
half	0.2384	0.1940	0.2406	0.3270
half	0.2779	0.0776	0.0704	0.5741
half	0.0719	0.7990	0.0644	0.0647
half	0.1019	0.1064	0.6842	0.1075
half	0.2579	0.1709	0.0941	0.4771
half	0.3523	0.1111	0.1816	0.3550
half	0.2149	0.0501	0.1696	0.5654
half	0.2362	0.0486	0.2642	0.4511
half	0.0444	0.0873	0.7863	0.0820
half	0.1673	0.5593	0.1143	0.1592
half	0.0420	0.1419	0.7541	0.0620
half	0.7680	0.0387	0.0576	0.1356
half	0.3796	0.1662	0.2291	0.2250
half	0.6700	0.0300	0.0551	0.2449
half	0.1635	0.0618	0.4267	0.3480
half	0.1553	0.1063	0.2913	0.4472
half	0.1299	0.3312	0.3757	0.1632
half	0.4360	0.1390	0.1508	0.2743
half	0.5131	0.0893	0.1030	0.2947
half	0.5620	0.0450	0.0974	0.2957
half	0.0914	0.2494	0.2782	0.3810
half	0.4348	0.0675	0.1206	0.3771
half	0.4849	0.0959	0.0511	0.3681
half	0.5082	0.0339	0.0440	0.4139
half	0.2904	0.0773	0.4704	0.1620
half	0.2113	0.4818	0.1906	0.1163
half	0.1805	0.1782	0.1140	0.5273
half	0.1396	0.0414	0.5409	0.2782
half	0.3265	0.0775	0.2311	0.3650
half	0.0505	0.8656	0.0300	0.0539
half	0.4582	0.0607	0.0770	0.4041
half	0.0650	0.7609	0.1070	0.0670
half	0.2888	0.0247	0.3678	0.3187
half	0.5880	0.0770	0.1065	0.2284
