pop	clust1	clust2	clust3
half	0.7288	0.1549	0.1163
half	0.6572	0.0848	0.2580
half	0.7563	0.1097	0.1340
half	0.6800	0.0833	0.2367
half	0.5993	0.1247	0.2760
half	0.1855	0.4039	0.4106
half	0.1929	0.6293	0.1778
half	0.1057	0.2751	0.6192
half	0.3411	0.3349	0.3240
half	0.5312	0.3391	0.1297
half	0.4243	0.0987	0.4770
half	0.1805	0.0636	0.7559
half	0.3621	0.4459	0.1921
half	0.8528	0.0757	0.0715
half	0.2291	0.1861	0.5848
half	0.3110	0.0555	0.6335
half	0.1388	0.2515	0.6097
half	0.6361	0.2151	0.1488
half	0.3306	0.1647	0.5048
half	0.2710	0.4449	0.2841
half	0.5534	0.3802	0.0664
half	0.1794	0.6583	0.1623
half	0.4664	0.1021	0.4315
half	0.2020	0.5992	0.1988
half	0.0892	0.0971	0.8137
half	0.2530	0.3090	0.4380
half	0.2327	0.5214	0.2459
half	0.3832	0.1375	0.4794
half	0.5174	0.3704	0.1122
half	0.6024	0.1180	0.2796
half	0.4918	0.2358	0.2725
half	0.5249	0.2315	0.2436
half	0.6598	0.2097	0.1305
half	0.1893	0.6663	0.1444
half	0.2368	0.1869	0.5762
half	0.2406	0.1207	0.6387
half	0.1973	0.0524	0.7503
half	0.6292	0.2175	0.1533
half	0.3528	0.1392	0.5080
half	0.4335	0.1471	0.4194
half	0.3178	0.1016	0.5806
half	0.3347	0.5505	0.1148
half	0.4876	0.1454	0.3671
half	0.2839	0.1379	0.5782
half	0.0856	0.1254	0.7890
half	0.2618	0.3205	0.4178
half	0.3248	0.1576	0.5176
half	0.5199	0.2715	0.2086
half	0.1414	0.6489	0.2097
half	0.0842	0.3783	0.5375
half	0.6511	0.1132	0.2357
half	0.6824	0.1096	0.2080
half	0.3459	0.0912	0.5629
half	0.5838	0.2973	0.1189
half	0.6639	0.2223	0.1138
half	0.3184	0.4131	0.2685
half	0.2236	0.3352	0.4412
half	0.4157	0.0459	0.5384
half	0.3736	0.4469	0.1796
half	0.4449	0.2047	0.3503
half	0.7974	0.1214	0.0812
half	0.6160	0.0718	0.3122
half	0.7060	0.0876	0.2064
half	0.2929	0.5841	0.1231
half	0.0649	0.8951	0.0400
half	0.6830	0.2061	0.1109
half	0.1229	0.4176	0.4594
half	0.5306	0.1818	0.2876
half	0.5039	0.4180	0.0781
half	0.4043	0.0609	0.5348
half	0.8846	0.0554	0.0600
half	0.5576	0.1737	0.2687
half	0.0954	0.0884	0.8162
half	0.6227	0.2768	0.1005
half	0.2218	0.1516	0.6266
half	0.4275	0.2710	0.3016
half	0.4169	0.2265	0.3566
half	0.2302	0.5144	0.2554
half	0.8649	0.0469	0.0882
half	0.7912	0.0826	0.1262
half	0.4412	0.3705	0.1883
winter	0.5074	0.1707	0.3219
half	0.5600	0.2198	0.2201
winter	0.6701	0.0615	0.2684
winter	0.8909	0.0498	0.0593
winter	0.7247	0.1780	0.0972
half	0.5228	0.1241	0.3531
winter	0.6253	0.1314	0.2433
summer	0.2608	0.1079	0.6313
